Codes,Site Name,Depot
80001,S & S PETROL STATION,Gatti
80001,S & S PETROL STATION,Machikey
80001,S & S PETROL STATION,Mehmoodkot
80002,AL ROOHANI FILLING STATION,Gatti
80002,AL ROOHANI FILLING STATION,Machikey
80002,AL ROOHANI FILLING STATION,Mehmoodkot
80003,A-1 FILLING STATION,Kemari
80003,A-1 FILLING STATION,Refinery
80003,A-1 FILLING STATION,Port Qasim
80005,HAFEEZ FILLING STATION,Gatti
80005,HAFEEZ FILLING STATION,Machikey
80005,HAFEEZ FILLING STATION,Mehmoodkot
80006,MUSLIM FILLING STATION,Vihari
80006,MUSLIM FILLING STATION,Mehmoodkot
80011,NAVEED PETROLEUM,Gatti
80011,NAVEED PETROLEUM,Machikey
80011,NAVEED PETROLEUM,Mehmoodkot
80016,AKHTER FILLING STATION,Sihala
80017,NAWAZ FILLING STATION,Shikarpur
80017,NAWAZ FILLING STATION,Dolatpur
80017,NAWAZ FILLING STATION,Mehmoodkot
80018,BEST GAS,Sihala
80019,SAYYED PETROLEUM,Taru jabba
80020,MUZZAFFAR GASWAYS,Sihala
80021,MOON FILLING STATION,Kemari
80021,MOON FILLING STATION,Refinery
80021,MOON FILLING STATION,Port Qasim
80022,GAS N TRADE FILLING STATION,Kemari
80022,GAS N TRADE FILLING STATION,Refinery
80022,GAS N TRADE FILLING STATION,Port Qasim
80023,ABUL KHAIR FILLING STATION,Gatti
80023,ABUL KHAIR FILLING STATION,Machikey
80023,ABUL KHAIR FILLING STATION,Mehmoodkot
80024,CITY FILLING STATION,Taru jabba
80026,AGHA FILLING STATION,Shikarpur
80026,AGHA FILLING STATION,Dolatpur
80026,AGHA FILLING STATION,Mehmoodkot
80031,TAJ 5 PETROLEUM SERVICES,Mehmoodkot
80031,TAJ 5 PETROLEUM SERVICES,Parco
80036,AL MADINA FILLING STATION,Sihala
80041,SAIF ASNAN FILLING STATION,Gatti
80041,SAIF ASNAN FILLING STATION,Machikey
80041,SAIF ASNAN FILLING STATION,Mehmoodkot
80046,BISMILLAH PETROLEUM,Shikarpur
80046,BISMILLAH PETROLEUM,Dolatpur
80046,BISMILLAH PETROLEUM,Mehmoodkot
80051,USMAN FILLING STATION,Machikey
80051,USMAN FILLING STATION,Chakpirana
80056,MEHAK FILLING STATION,Shikarpur
80056,MEHAK FILLING STATION,Dolatpur
80056,MEHAK FILLING STATION,Mehmoodkot
80057,ALEEM AMAAN FILLING STATION,Vihari
80057,ALEEM AMAAN FILLING STATION,Mehmoodkot
80058,AL NAWAB FILLING STATION,Shikarpur
80058,AL NAWAB FILLING STATION,Dolatpur
80058,AL NAWAB FILLING STATION,Mehmoodkot
80059,MUHAMMAD KHAN & CO. FILLING STATION,Mehmoodkot
80059,MUHAMMAD KHAN & CO. FILLING STATION,Parco
80060,SPEED WAYS FILLING STATION,Machikey
80060,SPEED WAYS FILLING STATION,Chakpirana
80061,GHAKOCH FILLING STATION,Jaglot
80063,NAICH FILLING STATION,Gatti
80063,NAICH FILLING STATION,Machikey
80063,NAICH FILLING STATION,Mehmoodkot
80065,AL HAIREBYAR FILLING STATION,Shikarpur
80065,AL HAIREBYAR FILLING STATION,Dolatpur
80065,AL HAIREBYAR FILLING STATION,Mehmoodkot
80066,MEHRAN PETROLEUM & CNG STATION,Kemari
80066,MEHRAN PETROLEUM & CNG STATION,Refinery
80066,MEHRAN PETROLEUM & CNG STATION,Port Qasim
80067,NAGYAL FILLING STATION,Sihala
80071,IQBAL FILLING STATION,Chakpirana
80071,IQBAL FILLING STATION,Machikey
80076,NAFEES FILLING STATION,Kemari
80076,NAFEES FILLING STATION,Refinery
80076,NAFEES FILLING STATION,Port Qasim
80091,FAUJI PETROLEUM SERVICES,Shikarpur
80091,FAUJI PETROLEUM SERVICES,Dolatpur
80091,FAUJI PETROLEUM SERVICES,Mehmoodkot
80101,COAST GUARD FILLING STATION,Kemari
80101,COAST GUARD FILLING STATION,Refinery
80101,COAST GUARD FILLING STATION,Port Qasim
80102,AZMAT FILLING STATION,Chakpirana
80102,AZMAT FILLING STATION,Machikey
80103,TAYYABA FILLING STATION,Vihari
80103,TAYYABA FILLING STATION,Mehmoodkot
80104,ALUANA PETROLEUM,Chakpirana
80104,ALUANA PETROLEUM,Machikey
80106,AL WAHEED PETROELUM SERVICE,Sahiwal
80107,SHAH PETROLEUM SERVICES,Taru jabba
80108,KASHAN FILLING STATION,Gatti
80108,KASHAN FILLING STATION,Machikey
80108,KASHAN FILLING STATION,Mehmoodkot
80109,RAHIM FILLING STATION,Shikarpur
80109,RAHIM FILLING STATION,Dolatpur
80109,RAHIM FILLING STATION,Mehmoodkot
80110,MIAN AHMED FILLING STATION,Gatti
80110,MIAN AHMED FILLING STATION,Machikey
80110,MIAN AHMED FILLING STATION,Mehmoodkot
80111,AL QURAISH FILLING STATION,Mehmoodkot
80111,AL QURAISH FILLING STATION,Parco
80112,AL FAISAL FILLING STATION,Shikarpur
80112,AL FAISAL FILLING STATION,Dolatpur
80112,AL FAISAL FILLING STATION,Mehmoodkot
80113,LARKANA PETROLEUM SERVICE,Shikarpur
80113,LARKANA PETROLEUM SERVICE,Dolatpur
80113,LARKANA PETROLEUM SERVICE,Mehmoodkot
80115,JAMAL OIL FILLING STATION,Vihari
80115,JAMAL OIL FILLING STATION,Mehmoodkot
80116,AL REHMAN PETROLEUM,Gatti
80116,AL REHMAN PETROLEUM,Machikey
80116,AL REHMAN PETROLEUM,Mehmoodkot
80121,JAMALI FILLING STATION,Shikarpur
80121,JAMALI FILLING STATION,Dolatpur
80121,JAMALI FILLING STATION,Mehmoodkot
80122,NISHAT FILLING STATION,Kemari
80122,NISHAT FILLING STATION,Refinery
80122,NISHAT FILLING STATION,Port Qasim
80123,LAR PETROLEUM SERVICE,Mehmoodkot
80123,LAR PETROLEUM SERVICE,Parco
80124,POLYAKA FILLING STATION,Sahiwal
80125,ZOHAIB FILLING STATION,Shikarpur
80125,ZOHAIB FILLING STATION,Dolatpur
80125,ZOHAIB FILLING STATION,Mehmoodkot
80126,GULSHAN-E-MADINA FILLING STATION,Kemari
80126,GULSHAN-E-MADINA FILLING STATION,Refinery
80126,GULSHAN-E-MADINA FILLING STATION,Port Qasim
80127,BARYAR FILLING STATION,Gatti
80127,BARYAR FILLING STATION,Machikey
80127,BARYAR FILLING STATION,Mehmoodkot
80128,REHMAN NABEEL FILLING STATION,Gatti
80128,REHMAN NABEEL FILLING STATION,Machikey
80128,REHMAN NABEEL FILLING STATION,Mehmoodkot
80129,SIKANDER FILLING STATION,Shikarpur
80129,SIKANDER FILLING STATION,Dolatpur
80129,SIKANDER FILLING STATION,Mehmoodkot
80130,KARMAAL FILLING STATION,Chakpirana
80130,KARMAAL FILLING STATION,Machikey
80131,ALI PETROLEUM SERVICE,Shikarpur
80131,ALI PETROLEUM SERVICE,Dolatpur
80131,ALI PETROLEUM SERVICE,Mehmoodkot
80132,ASGHAR ALI FILLING STATION,Kemari
80132,ASGHAR ALI FILLING STATION,Refinery
80132,ASGHAR ALI FILLING STATION,Port Qasim
80133,HAMZA FILLING STATION,Kemari
80133,HAMZA FILLING STATION,Refinery
80133,HAMZA FILLING STATION,Port Qasim
80136,AL-FATEH PETROLEUM SERVICE,Gatti
80136,AL-FATEH PETROLEUM SERVICE,Machikey
80136,AL-FATEH PETROLEUM SERVICE,Mehmoodkot
80137,JALALANI FILLING STATION,Kemari
80137,JALALANI FILLING STATION,Refinery
80137,JALALANI FILLING STATION,Port Qasim
80138,SHAHBAZ FILLING STATION,Shikarpur
80138,SHAHBAZ FILLING STATION,Dolatpur
80138,SHAHBAZ FILLING STATION,Mehmoodkot
80139,NEW MAKKAH FILLING STATION,Shikarpur
80139,NEW MAKKAH FILLING STATION,Dolatpur
80139,NEW MAKKAH FILLING STATION,Mehmoodkot
80140,WAQAS FILLING STATION,Kemari
80140,WAQAS FILLING STATION,Refinery
80140,WAQAS FILLING STATION,Port Qasim
80141,MEHAR FILLING STATION,Shikarpur
80141,MEHAR FILLING STATION,Dolatpur
80141,MEHAR FILLING STATION,Mehmoodkot
80142,TOOBA INTERNATIONAL,Sihala
80143,FARHAN FILLING STATION,Shikarpur
80143,FARHAN FILLING STATION,Dolatpur
80143,FARHAN FILLING STATION,Mehmoodkot
80144,DURUSHKHELA FILLING STATION,Taru jabba
80145,BODLA BAHAR FILLING STATION,Gatti
80145,BODLA BAHAR FILLING STATION,Machikey
